,c_i_child,c_i_parent,counts,p
1095,11,96,0,0.0
1096,11,97,0,0.0
1097,11,98,0,0.0
1098,11,99,0,0.0
1099,11,100,0,0.0
1100,12,1,20,0.02
1101,12,2,27,0.027
1102,12,3,27,0.027
1103,12,4,26,0.026
1104,12,5,18,0.018
1105,12,6,19,0.019
1106,12,7,23,0.023
1107,12,8,36,0.036
1108,12,9,18,0.018
1109,12,10,31,0.031
1110,12,11,22,0.022
1111,12,12,32,0.032
1112,12,13,30,0.03
1113,12,14,25,0.025
1114,12,15,26,0.026
1115,12,16,23,0.023
1116,12,17,21,0.021
1117,12,18,19,0.019
1118,12,19,19,0.019
1119,12,20,26,0.026
1120,12,21,16,0.016
1121,12,22,18,0.018
1122,12,23,20,0.02
1123,12,24,19,0.019
1124,12,25,14,0.014
1125,12,26,19,0.019
1126,12,27,16,0.016
1127,12,28,15,0.015
1128,12,29,24,0.024
1129,12,30,11,0.011
1130,12,31,13,0.013
1131,12,32,22,0.022
1132,12,33,16,0.016
1133,12,34,9,0.009
1134,12,35,12,0.012
1135,12,36,9,0.009
1136,12,37,13,0.013
1137,12,38,8,0.008
1138,12,39,8,0.008
1139,12,40,10,0.01
1140,12,41,9,0.009
1141,12,42,7,0.007
1142,12,43,8,0.008
1143,12,44,7,0.007
1144,12,45,13,0.013
